DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,1000,6772.509803921569,0.803921568627451,1713.9803921568628,6691.588235294118,2.0784313725490198,163.47058823529412,312.3529411764706,72.6470588235294,5058.529411764706,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,1100,6756.78431372549,0.7647058823529411,1750.1078431372548,6665.078431372549,2.156862745098039,167.94117647058823,314.47058823529414,72.2156862745098,5006.676470588235,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,1200,6714.078431372549,0.7843137254901961,1786.8431372549019,6630.529411764706,2.196078431372549,172.15686274509804,309.7450980392157,73.68627450980392,4927.235294117647,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,1300,6681.176470588235,0.7647058823529411,1806.5,6596.549019607844,2.3137254901960786,175.90196078431373,306.4117647058824,73.68627450980392,4874.676470588235,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,1400,6666.3725490196075,0.7843137254901961,1824.3039215686274,6585.431372549019,2.3529411764705883,179.07843137254903,308.2156862745098,74.23529411764706,4842.068627450981,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,1500,6656.490196078431,0.803921568627451,1847.0882352941176,6575.823529411765,2.392156862745098,182.90196078431373,309.4313725490196,74.23529411764706,4809.401960784314,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,1600,6645.803921568628,0.8235294117647058,1860.7941176470588,6561.470588235294,2.450980392156863,186.2549019607843,308.2156862745098,74.23529411764706,4785.009803921569,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,1700,6637.745098039216,0.8431372549019608,1888.8921568627452,6548.098039215686,2.5098039215686274,189.58823529411765,310.52941176470586,75.3921568627451,4748.85294117647,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,1800,6626.509803921569,0.7843137254901961,1899.7450980392157,6531.117647058823,2.5294117647058822,191.7843137254902,310.6078431372549,75.3921568627451,4726.764705882353,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,1900,6608.823529411765,0.8431372549019608,1909.0294117647059,6513.549019607844,2.5686274509803924,193.76470588235293,312.45098039215685,75.3921568627451,4699.794117647059,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,2000,6602.3725490196075,0.8627450980392157,1919.549019607843,6501.333333333333,2.5686274509803924,195.86274509803923,312.45098039215685,75.3921568627451,4682.823529411765,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,2100,6603.0392156862745,0.8235294117647058,1932.0980392156862,6500.803921568628,2.588235294117647,197.5686274509804,313.9019607843137,75.66666666666667,4670.941176470588,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,2200,6602.803921568628,0.8235294117647058,1938.0196078431372,6495.705882352941,2.607843137254902,198.90196078431373,313.47058823529414,75.66666666666667,4664.78431372549,1.0,1.0
