run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
43,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6565.0,1.0,1145.0,6565.0,1.0,107.0,232.0,0.0,5420.0,1.0,1.0
44,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,5296.0,1.0,3595.5,5193.0,28.0,662.0,51.0,41.0,1700.5,1.0,1.0
45,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,7355.0,1.0,1683.5,7355.0,1.0,131.0,320.0,65.0,5671.5,1.0,1.0
46,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,5501.0,1.0,3201.5,5310.0,1.0,442.0,391.0,132.0,2299.5,1.0,1.0
47,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6852.0,1.0,1790.5,6852.0,1.0,148.0,628.0,171.0,5061.5,1.0,1.0
48,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6302.0,1.0,2075.0,6302.0,0.0,209.0,71.0,70.0,4227.0,1.0,1.0
49,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,7195.0,0.0,2078.0,6956.0,2.0,173.0,297.0,37.0,5117.0,1.0,1.0
50,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6643.0,1.0,1416.5,6643.0,4.0,114.0,186.0,56.0,5226.5,1.0,1.0
0,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9997,4292.0,1.0,4292.0,4292.0,43.0,12595.0,298.0,298.0,0.0,1.0,1.0
1,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9895,4267.0,1.0,4267.0,4267.0,48.0,14225.0,139.0,139.0,0.0,1.0,1.0
2,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9773,4019.0,1.0,4019.0,4019.0,38.0,11313.0,80.0,80.0,0.0,1.0,1.0
3,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9921,4232.0,1.0,4228.5,4232.0,40.0,12175.0,157.0,151.0,3.5,1.0,1.0
4,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9801,4052.0,1.0,4052.0,4052.0,42.0,12506.0,84.0,84.0,0.0,1.0,1.0
5,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9800,4182.0,1.0,4182.0,4182.0,47.0,13921.0,380.0,380.0,0.0,1.0,1.0
6,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9851,4218.0,1.0,4218.0,4218.0,44.0,13055.0,137.0,137.0,0.0,1.0,1.0
7,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9841,4083.0,1.0,4083.0,4083.0,42.0,12438.0,75.0,75.0,0.0,1.0,1.0
8,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9997,4287.0,1.0,4287.0,4287.0,44.0,13082.0,75.0,75.0,0.0,1.0,1.0
9,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9773,4331.0,1.0,4331.0,4331.0,42.0,12472.0,122.0,122.0,0.0,1.0,1.0
10,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9981,4171.0,1.0,4171.0,4171.0,41.0,12155.0,154.0,154.0,0.0,1.0,1.0
11,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9901,4177.0,1.0,4177.0,4177.0,50.0,14905.0,158.0,158.0,0.0,1.0,1.0
12,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9968,4230.0,1.0,4230.0,4230.0,41.0,12202.0,157.0,157.0,0.0,1.0,1.0
13,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9806,4114.0,1.0,4119.5,4114.0,45.0,13324.0,360.0,360.0,5.5,1.0,1.0
14,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9876,4589.0,1.0,4589.0,4589.0,49.0,14603.0,697.0,697.0,0.0,1.0,1.0
15,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9841,4093.0,1.0,4093.0,4093.0,48.0,14265.0,86.0,86.0,0.0,1.0,1.0
16,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9885,4181.0,1.0,4181.0,4181.0,50.0,14851.0,119.0,119.0,0.0,1.0,1.0
17,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9791,4167.0,1.0,4161.5,4167.0,42.0,12438.0,452.0,452.0,5.5,1.0,1.0
18,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9863,4337.0,1.0,4337.0,4337.0,40.0,11906.0,503.0,503.0,0.0,1.0,1.0
19,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9791,4470.0,1.0,4470.0,4470.0,41.0,12483.0,204.0,204.0,0.0,1.0,1.0
20,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9991,4122.0,1.0,4122.0,4122.0,48.0,14249.0,130.0,130.0,0.0,1.0,1.0
21,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9777,4277.0,1.0,4277.0,4277.0,38.0,11299.0,74.0,74.0,0.0,1.0,1.0
22,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9917,4117.0,1.0,4117.0,4117.0,46.0,13684.0,96.0,96.0,0.0,1.0,1.0
23,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9868,4387.0,1.0,4387.0,4387.0,44.0,13047.0,65.0,65.0,0.0,1.0,1.0
24,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9917,4688.0,1.0,4688.0,4688.0,47.0,13992.0,609.0,609.0,0.0,1.0,1.0
25,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9851,4156.0,1.0,4156.0,4156.0,44.0,13100.0,122.0,122.0,0.0,1.0,1.0
26,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9702,4248.0,1.0,4248.0,4248.0,45.0,13264.0,324.0,324.0,0.0,1.0,1.0
27,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9791,4447.0,1.0,4447.0,4447.0,42.0,12454.0,52.0,52.0,0.0,1.0,1.0
28,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9918,4417.0,1.0,4417.0,4417.0,37.0,11026.0,87.0,87.0,0.0,1.0,1.0
29,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9771,4059.0,1.0,4059.0,4059.0,44.0,13033.0,118.0,118.0,0.0,1.0,1.0
30,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9898,4169.0,1.0,4169.0,4169.0,45.0,13368.0,469.0,469.0,0.0,1.0,1.0
31,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9831,4077.0,1.0,4077.0,4077.0,42.0,12430.0,235.0,235.0,0.0,1.0,1.0
32,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9881,4275.0,1.0,4275.0,4275.0,46.0,13647.0,144.0,144.0,0.0,1.0,1.0
33,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9795,4188.0,1.0,4188.0,4188.0,40.0,11941.0,284.0,284.0,0.0,1.0,1.0
34,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9891,4262.0,1.0,4262.0,4262.0,32.0,9812.0,201.0,201.0,0.0,1.0,1.0
35,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9848,4177.0,1.0,4177.0,4177.0,41.0,12296.0,107.0,107.0,0.0,1.0,1.0
36,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9958,4048.0,1.0,4048.0,4048.0,36.0,10723.0,76.0,76.0,0.0,1.0,1.0
37,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9801,4238.0,1.0,4238.0,4238.0,42.0,12505.0,44.0,44.0,0.0,1.0,1.0
