DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,lambda,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,4600,7106.81,0.65,6967.985,7012.59,28.31,13810.36,283.77,276.61,160.645,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,4700,7080.77,0.68,6955.04,6994.54,28.89,14099.44,281.84,278.55,153.39,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,4800,7053.5,0.66,6939.25,6974.07,29.6,14440.45,283.29,278.85,134.64,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,4900,7021.07,0.71,6923.39,6951.66,30.13,14696.16,279.57,280.98,114.76,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,5000,7015.74,0.65,6922.08,6936.33,30.78,15013.84,278.88,280.55,116.32,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,5100,6999.51,0.7,6901.1,6925.69,31.43,15324.6,281.51,281.57,119.95,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,5200,6984.18,0.71,6884.43,6911.62,32.01,15611.14,284.03,278.71,120.35,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,5300,6961.77,0.73,6879.75,6900.42,32.59,15893.54,282.08,275.34,108.11,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,5400,6946.33,0.71,6870.41,6887.13,33.2,16195.93,282.36,273.97,100.44,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,5500,6925.45,0.73,6856.865,6873.4,33.75,16460.08,280.9,274.09,89.545,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,5600,6910.4,0.69,6837.755,6857.96,34.44,16794.58,278.43,277.54,95.645,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,5700,6877.08,0.78,6829.175,6837.36,35.01,17072.03,275.74,274.81,70.545,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,5800,6856.34,0.8,6827.27,6816.56,35.66,17383.32,278.41,275.36,60.63,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,5900,6841.07,0.75,6819.74,6807.93,36.24,17675.22,276.59,274.98,53.52,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,6000,6843.99,0.71,6806.61,6800.05,36.87,17981.38,278.74,272.96,54.24,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,6100,6850.22,0.7,6799.13,6794.21,37.42,18248.15,281.27,274.35,67.38,1.0,1.0
