run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,lambda,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
11,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99983,6090.0,1.0,6090.0,6090.0,576.0,271195.0,173.0,173.0,0.0,1.0,1.0
12,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99947,6537.0,0.0,6290.0,6211.0,612.0,288049.0,401.0,278.0,247.0,1.0,1.0
13,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99853,6526.0,1.0,6526.0,6526.0,574.0,275539.0,323.0,323.0,0.0,1.0,1.0
14,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99858,6754.0,0.0,6654.5,6477.0,649.0,326025.0,256.0,256.0,99.5,1.0,1.0
15,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99945,6589.0,1.0,6589.0,6589.0,611.0,295080.0,199.0,199.0,0.0,1.0,1.0
16,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99879,7759.0,0.0,5820.0,6096.0,651.0,288811.0,72.0,72.0,1939.0,1.0,1.0
17,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99912,6245.0,1.0,6211.0,6201.0,636.0,311158.0,117.0,116.0,34.0,1.0,1.0
18,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99921,6981.0,1.0,6955.0,6954.0,648.0,332869.0,279.0,245.0,26.0,1.0,1.0
19,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99880,6852.0,1.0,6768.0,6847.0,647.0,312749.0,321.0,305.0,84.0,1.0,1.0
20,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99985,5904.0,0.0,5885.5,5843.0,697.0,319889.0,254.0,254.0,18.5,1.0,1.0
21,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99924,6022.0,1.0,5979.5,5948.0,685.0,313442.0,269.0,269.0,42.5,1.0,1.0
22,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99968,6971.0,1.0,6996.0,6951.0,613.0,315676.0,301.0,301.0,25.0,1.0,1.0
23,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99974,6319.0,1.0,6319.0,6319.0,579.0,289466.0,335.0,335.0,0.0,1.0,1.0
24,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99878,6649.0,1.0,6649.0,6641.0,538.0,260944.0,348.0,348.0,0.0,1.0,1.0
25,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99903,6778.0,1.0,6778.0,6712.0,578.0,296122.0,351.0,351.0,0.0,1.0,1.0
26,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99993,6722.0,0.0,6160.0,6112.0,644.0,309059.0,119.0,119.0,562.0,1.0,1.0
27,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99876,6470.0,1.0,6470.0,6470.0,606.0,307485.0,288.0,288.0,0.0,1.0,1.0
28,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99880,6351.0,1.0,6351.0,6351.0,611.0,298451.0,164.0,164.0,0.0,1.0,1.0
29,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99967,6658.0,1.0,6658.0,6658.0,575.0,288418.0,203.0,203.0,0.0,1.0,1.0
30,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99841,6538.0,1.0,6417.0,6413.0,520.0,248826.0,260.0,266.0,121.0,1.0,1.0
31,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99852,7012.0,1.0,7012.0,6992.0,615.0,319527.0,437.0,437.0,0.0,1.0,1.0
32,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99922,6222.0,1.0,6222.0,6222.0,545.0,264258.0,309.0,309.0,0.0,1.0,1.0
33,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99935,6118.0,1.0,6118.0,6118.0,617.0,293823.0,331.0,331.0,0.0,1.0,1.0
